Adsorbate 1,Adsorbate 2,num of NM atoms 1,num of NM atoms 2,num of H 1,num of H 2,Atomic num 1,Atomic num 2,PE 1,PE 2,Covalent Radius 1,Covalent Radius 2,FIE 1,FIE 2,IE 1,IE 2,EA 1,EA 2,VdW Radius 1,VdW Radius 2,num of Valence Electron 1,num of Valence Electron 2,num of Atoms,num of H,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average IE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,PE 1 add PE 2,Covalent Radius 1 minus Covalent Radius 2,Covalent Radius 1 add Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,VdW Radius 1 add VdW Radius 2,FIE 1 minus FIE 2,FIE 1 add FIE 2,EA 1 minus EA 2,EA 1 add EA 2,num of Valence 1 minus num of Valence 2,num of Valence 1 add num of Valence 2,IE 1 minus IE 2,IE 1 add IE 2,Average EA of Adsorbates squared,Average PE of Adsorbates squared,Average Covalent Radius of Adosrbates squared,Average FIE of Adsorbates squared,Average VdW Radius squared,Average Atomic num of Adsorbates squared,Average num of Valence Electron squared,Average IE squared,G_C2O2 - Gco,G_CHO - Gco,Difference
O,F,1.00,1.00,0.00,0.00,8.00,9.00,3.44,3.98,0.63,0.64,13.62,17.42,13.62,17.42,1.46,3.40,1.52,1.47,6.00,7.00,1.00,0.00,8.50,3.71,0.64,15.52,15.52,2.43,1.50,6.50,0.54,7.42,0.01,1.27,0.05,2.99,3.80,31.04,1.94,4.86,1.00,13.00,3.80,31.04,5.91,13.76,0.40,240.87,2.24,72.25,42.25,240.87,,,
O,Cl,1.00,1.00,0.00,0.00,8.00,17.00,3.44,3.16,0.63,0.99,13.62,12.97,13.62,12.97,1.46,3.61,1.52,1.75,6.00,7.00,1.00,0.00,12.50,3.30,0.81,13.29,13.30,2.54,1.64,6.50,0.28,6.60,0.36,1.62,0.23,3.27,0.65,26.59,2.15,5.07,1.00,13.00,0.65,26.59,6.43,10.89,0.66,176.69,2.67,156.25,42.25,176.76,0.14972 ,0.30107 ,-0.15136 
O,Br,1.00,1.00,0.00,0.00,8.00,35.00,3.44,2.96,0.63,1.14,13.62,11.81,13.62,11.81,1.46,3.36,1.52,1.85,6.00,7.00,1.00,0.00,21.50,3.20,0.89,12.72,12.72,2.41,1.69,6.50,0.48,6.40,0.51,1.77,0.33,3.37,1.80,25.43,1.90,4.82,1.00,13.00,1.81,25.43,5.82,10.24,0.78,161.70,2.84,462.25,42.25,161.67,,,
O,I,1.00,1.00,0.00,0.00,8.00,53.00,3.44,2.66,0.63,1.33,13.62,10.45,13.62,10.45,1.46,3.06,1.52,1.98,6.00,7.00,1.00,0.00,30.50,3.05,0.98,12.03,12.04,2.26,1.75,6.50,0.78,6.10,0.70,1.96,0.46,3.50,3.17,24.07,1.60,4.52,1.00,13.00,3.17,24.07,5.11,9.30,0.96,144.83,3.06,930.25,42.25,144.84,,,
OH,O,2.00,1.00,1.00,0.00,4.50,8.00,2.82,3.44,0.48,0.63,13.61,13.62,13.02,13.62,1.11,1.46,1.36,1.52,7.00,6.00,1.50,0.50,6.25,3.13,0.56,13.61,13.32,1.28,1.44,6.50,0.62,6.26,0.15,1.11,0.16,2.88,0.01,27.23,0.35,2.57,1.00,13.00,0.60,26.64,1.65,9.80,0.31,185.31,2.07,39.06,42.25,177.42,0.06446 ,0.29583 ,-0.23137 
OH,OH,2.00,2.00,1.00,1.00,4.50,4.50,2.82,2.82,0.48,0.48,13.61,13.61,13.02,13.02,1.11,1.11,1.36,1.36,7.00,7.00,2.00,1.00,4.50,2.82,0.48,13.61,13.02,1.11,1.36,7.00,0.00,5.64,0.00,0.96,0.00,2.72,0.00,27.22,0.00,2.21,0.00,14.00,0.00,26.04,1.23,7.95,0.23,185.18,1.85,20.25,49.00,169.52,0.20088 ,0.48339 ,-0.28251 
OH,N,2.00,1.00,1.00,0.00,4.50,7.00,2.82,3.04,0.48,0.71,13.61,14.53,13.02,14.53,1.11,-0.07,1.36,1.55,7.00,5.00,1.50,0.50,5.75,2.93,0.60,14.07,13.78,0.52,1.46,6.00,0.22,5.86,0.23,1.19,0.19,2.91,0.93,28.14,1.18,1.04,2.00,12.00,1.51,27.55,0.27,8.58,0.35,197.99,2.12,33.06,36.00,189.75,,,
OH,NH,2.00,2.00,1.00,1.00,4.50,4.00,2.82,2.62,0.48,0.52,13.61,14.07,13.02,12.80,1.11,0.34,1.36,1.38,7.00,6.00,2.00,1.00,4.25,2.72,0.50,13.84,12.91,0.72,1.37,6.50,0.20,5.44,0.04,1.00,0.02,2.74,0.46,27.67,0.77,1.45,1.00,13.00,0.22,25.82,0.52,7.40,0.25,191.46,1.87,18.06,42.25,166.67,,,
OH,NH2,2.00,3.00,1.00,2.00,4.50,3.00,2.82,2.48,0.48,0.45,13.61,13.91,13.02,10.78,1.11,0.48,1.36,1.32,7.00,7.00,2.50,1.50,3.75,2.65,0.47,13.76,11.90,0.79,1.34,7.00,0.34,5.30,0.03,0.93,0.04,2.68,0.30,27.52,0.63,1.59,0.00,14.00,2.24,23.80,0.63,7.02,0.22,189.31,1.79,14.06,49.00,141.61,,,
OH,NH3,2.00,4.00,1.00,3.00,4.50,2.50,2.82,2.41,0.48,0.42,13.61,13.83,13.02,10.07,1.11,0.55,1.36,1.29,7.00,8.00,3.00,2.00,3.50,2.62,0.45,13.72,11.55,0.83,1.32,7.50,0.41,5.23,0.06,0.90,0.07,2.65,0.22,27.44,0.56,1.66,1.00,15.00,2.95,23.09,0.68,6.84,0.20,188.24,1.75,12.25,56.25,133.29,-0.10022 ,0.12011 ,-0.22033 
OH,C,2.00,1.00,1.00,0.00,4.50,6.00,2.82,2.55,0.48,0.75,13.61,11.26,13.02,11.26,1.11,1.26,1.36,1.70,7.00,4.00,1.50,0.50,5.25,2.69,0.62,12.43,12.14,1.18,1.53,5.50,0.27,5.37,0.27,1.23,0.34,3.06,2.35,24.87,0.16,2.37,3.00,11.00,1.76,24.28,1.40,7.21,0.38,154.60,2.34,27.56,30.25,147.38,0.10244 ,0.15317 ,-0.05073 
OH,CH,2.00,2.00,1.00,1.00,4.50,3.50,2.82,2.38,0.48,0.54,13.61,12.43,13.02,10.64,1.11,1.01,1.36,1.45,7.00,5.00,2.00,1.00,4.00,2.60,0.51,13.02,11.83,1.06,1.41,6.00,0.45,5.20,0.06,1.02,0.09,2.81,1.18,26.04,0.10,2.12,2.00,12.00,2.38,23.66,1.12,6.75,0.26,169.48,1.97,16.00,36.00,139.95,0.00525 ,0.16787 ,-0.16262 
OH,CH2,2.00,3.00,1.00,2.00,4.50,2.67,2.82,2.32,0.48,0.46,13.61,12.82,13.02,10.40,1.11,0.92,1.36,1.37,7.00,6.00,2.50,1.50,3.58,2.57,0.47,13.21,11.71,1.01,1.36,6.50,0.50,5.14,0.02,0.94,0.01,2.73,0.79,26.43,0.18,2.03,1.00,13.00,2.62,23.42,1.03,6.60,0.22,174.59,1.86,12.84,42.25,137.12,,,
OH,CH3,2.00,4.00,1.00,3.00,4.50,2.25,2.82,2.29,0.48,0.43,13.61,13.01,13.02,9.84,1.11,0.88,1.36,1.33,7.00,7.00,3.00,2.00,3.38,2.55,0.46,13.31,11.43,0.99,1.34,7.00,0.53,5.11,0.05,0.91,0.03,2.69,0.59,26.62,0.23,1.99,0.00,14.00,3.18,22.86,0.99,6.52,0.21,177.18,1.80,11.39,49.00,130.64,,,
OH,S,2.00,1.00,1.00,0.00,4.50,16.00,2.82,2.58,0.48,1.03,13.61,10.36,13.02,10.36,1.11,2.08,1.36,1.80,7.00,6.00,1.50,0.50,10.25,2.70,0.76,11.98,11.69,1.59,1.58,6.50,0.24,5.40,0.55,1.51,0.44,3.16,3.25,23.97,0.97,3.18,1.00,13.00,2.66,23.38,2.53,7.29,0.57,143.62,2.50,105.06,42.25,136.66,,,
OH,SH,2.00,2.00,1.00,1.00,4.50,8.50,2.82,2.39,0.48,0.68,13.61,11.98,13.02,10.42,1.11,1.42,1.36,1.50,7.00,7.00,2.00,1.00,6.50,2.61,0.58,12.79,11.72,1.26,1.43,7.00,0.43,5.21,0.20,1.16,0.14,2.86,1.63,25.59,0.31,2.52,0.00,14.00,2.60,23.44,1.59,6.79,0.34,163.67,2.04,42.25,49.00,137.36,,,
OH,SH2,2.00,3.00,1.00,2.00,4.50,6.00,2.82,2.33,0.48,0.56,13.61,12.52,13.02,10.46,1.11,1.20,1.36,1.40,7.00,8.00,2.50,1.50,5.25,2.57,0.52,13.06,11.74,1.15,1.38,7.50,0.49,5.15,0.08,1.04,0.04,2.76,1.09,26.13,0.09,2.30,1.00,15.00,2.56,23.48,1.33,6.62,0.27,170.65,1.90,27.56,56.25,137.83,-0.07377 ,0.32325 ,-0.39703 
OH,F,2.00,1.00,1.00,0.00,4.50,9.00,2.82,3.98,0.48,0.64,13.61,17.42,13.02,17.42,1.11,3.40,1.36,1.47,7.00,7.00,1.50,0.50,6.75,3.40,0.56,15.52,15.22,2.25,1.42,7.00,1.16,6.80,0.16,1.12,0.11,2.83,3.81,31.03,2.29,4.51,0.00,14.00,4.40,30.44,5.08,11.56,0.31,240.72,2.00,45.56,49.00,231.65,0.09512 ,0.23116 ,-0.13604 
OH,Cl,2.00,1.00,1.00,0.00,4.50,17.00,2.82,3.16,0.48,0.99,13.61,12.97,13.02,12.97,1.11,3.61,1.36,1.75,7.00,7.00,1.50,0.50,10.75,2.99,0.74,13.29,13.00,2.36,1.56,7.00,0.34,5.98,0.51,1.47,0.39,3.11,0.64,26.58,2.51,4.72,0.00,14.00,0.05,25.99,5.57,8.94,0.54,176.56,2.42,115.56,49.00,168.87,,,
OH,Br,2.00,1.00,1.00,0.00,4.50,35.00,2.82,2.96,0.48,1.14,13.61,11.81,13.02,11.81,1.11,3.36,1.36,1.85,7.00,7.00,1.50,0.50,19.75,2.89,0.81,12.71,12.42,2.24,1.61,7.00,0.14,5.78,0.66,1.62,0.49,3.21,1.79,25.42,2.26,4.47,0.00,14.00,1.21,24.83,5.00,8.35,0.66,161.57,2.58,390.06,49.00,154.13,,,
OH,I,2.00,1.00,1.00,0.00,4.50,53.00,2.82,2.66,0.48,1.33,13.61,10.45,13.02,10.45,1.11,3.06,1.36,1.98,7.00,7.00,1.50,0.50,28.75,2.74,0.91,12.03,11.74,2.08,1.67,7.00,0.16,5.48,0.85,1.81,0.62,3.34,3.16,24.06,1.95,4.17,0.00,14.00,2.57,23.47,4.34,7.51,0.82,144.71,2.79,826.56,49.00,137.71,,,
N,O,1.00,1.00,0.00,0.00,7.00,8.00,3.04,3.44,0.71,0.63,14.53,13.62,14.53,13.62,-0.07,1.46,1.55,1.52,5.00,6.00,1.00,0.00,7.50,3.24,0.67,14.08,14.08,0.70,1.54,5.50,0.40,6.48,0.08,1.34,0.03,3.07,0.92,28.15,1.53,1.39,1.00,11.00,0.91,28.15,0.48,10.50,0.45,198.13,2.36,56.25,30.25,198.11,,,
N,OH,1.00,2.00,0.00,1.00,7.00,4.50,3.04,2.82,0.71,0.48,14.53,13.61,14.53,13.02,-0.07,1.11,1.55,1.36,5.00,7.00,1.50,0.50,5.75,2.93,0.60,14.07,13.78,0.52,1.46,6.00,0.22,5.86,0.23,1.19,0.19,2.91,0.93,28.14,1.18,1.04,2.00,12.00,1.51,27.55,0.27,8.58,0.35,197.99,2.12,33.06,36.00,189.75,,,
N,N,1.00,1.00,0.00,0.00,7.00,7.00,3.04,3.04,0.71,0.71,14.53,14.53,14.53,14.53,-0.07,-0.07,1.55,1.55,5.00,5.00,1.00,0.00,7.00,3.04,0.71,14.53,14.53,-0.07,1.55,5.00,0.00,6.08,0.00,1.42,0.00,3.10,0.00,29.07,0.00,-0.14,0.00,10.00,0.00,29.06,0.00,9.24,0.50,211.24,2.40,49.00,25.00,211.12,,,
N,NH,1.00,2.00,0.00,1.00,7.00,4.00,3.04,2.62,0.71,0.52,14.53,14.07,14.53,12.80,-0.07,0.34,1.55,1.38,5.00,6.00,1.50,0.50,5.50,2.83,0.62,14.30,13.67,0.14,1.46,5.50,0.42,5.66,0.19,1.23,0.18,2.93,0.47,28.60,0.41,0.27,1.00,11.00,1.73,27.33,0.02,8.01,0.38,204.49,2.14,30.25,30.25,186.73,,,
N,NH2,1.00,3.00,0.00,2.00,7.00,3.00,3.04,2.48,0.71,0.45,14.53,13.91,14.53,10.78,-0.07,0.48,1.55,1.32,5.00,7.00,2.00,1.00,5.00,2.76,0.58,14.22,12.66,0.20,1.43,6.00,0.56,5.52,0.26,1.16,0.23,2.87,0.62,28.44,0.55,0.41,2.00,12.00,3.75,25.31,0.04,7.62,0.34,202.27,2.05,25.00,36.00,160.15,,,
N,NH3,1.00,4.00,0.00,3.00,7.00,2.50,3.04,2.41,0.71,0.42,14.53,13.83,14.53,10.07,-0.07,0.55,1.55,1.29,5.00,8.00,2.50,1.50,4.75,2.73,0.57,14.18,12.30,0.24,1.42,6.50,0.63,5.45,0.29,1.13,0.26,2.84,0.70,28.37,0.62,0.48,3.00,13.00,4.46,24.60,0.06,7.43,0.32,201.16,2.01,22.56,42.25,151.29,,,
N,C,1.00,1.00,0.00,0.00,7.00,6.00,3.04,2.55,0.71,0.75,14.53,11.26,14.53,11.26,-0.07,1.26,1.55,1.70,5.00,4.00,1.00,0.00,6.50,2.80,0.73,12.90,12.90,0.60,1.63,4.50,0.49,5.59,0.04,1.46,0.15,3.25,3.27,25.79,1.33,1.19,1.00,9.00,3.27,25.79,0.36,7.81,0.53,166.33,2.64,42.25,20.25,166.28,-0.13006 ,0.09894 ,-0.22900 
N,CH,1.00,2.00,0.00,1.00,7.00,3.50,3.04,2.38,0.71,0.54,14.53,12.43,14.53,10.64,-0.07,1.01,1.55,1.45,5.00,5.00,1.50,0.50,5.25,2.71,0.63,13.48,12.59,0.47,1.50,5.00,0.67,5.42,0.17,1.25,0.10,3.00,2.11,26.96,1.08,0.94,0.00,10.00,3.89,25.17,0.22,7.33,0.39,181.75,2.25,27.56,25.00,158.38,,,
N,CH2,1.00,3.00,0.00,2.00,7.00,2.67,3.04,2.32,0.71,0.46,14.53,12.82,14.53,10.40,-0.07,0.92,1.55,1.37,5.00,6.00,2.00,1.00,4.83,2.68,0.59,13.68,12.47,0.43,1.46,5.50,0.72,5.36,0.25,1.17,0.18,2.92,1.72,27.35,0.99,0.85,1.00,11.00,4.13,24.93,0.18,7.17,0.34,187.04,2.13,23.36,30.25,155.38,,,
N,CH3,1.00,4.00,0.00,3.00,7.00,2.25,3.04,2.29,0.71,0.43,14.53,13.01,14.53,9.84,-0.07,0.88,1.55,1.33,5.00,7.00,2.50,1.50,4.63,2.66,0.57,13.77,12.19,0.41,1.44,6.00,0.75,5.33,0.28,1.14,0.23,2.88,1.52,27.55,0.95,0.81,2.00,12.00,4.69,24.37,0.16,7.10,0.32,189.72,2.07,21.39,36.00,148.47,0.03054 ,0.12576 ,-0.09523 
N,S,1.00,1.00,0.00,0.00,7.00,16.00,3.04,2.58,0.71,1.03,14.53,10.36,14.53,10.36,-0.07,2.08,1.55,1.80,5.00,6.00,1.00,0.00,11.50,2.81,0.87,12.45,12.45,1.00,1.68,5.50,0.46,5.62,0.32,1.74,0.25,3.35,4.17,24.89,2.15,2.01,1.00,11.00,4.17,24.89,1.01,7.90,0.76,154.93,2.81,132.25,30.25,154.88,0.14989 ,0.03232 ,0.11756 
N,SH,1.00,2.00,0.00,1.00,7.00,8.50,3.04,2.39,0.71,0.68,14.53,11.98,14.53,10.42,-0.07,1.42,1.55,1.50,5.00,7.00,1.50,0.50,7.75,2.72,0.70,13.26,12.48,0.67,1.53,6.00,0.65,5.43,0.03,1.39,0.05,3.05,2.56,26.51,1.49,1.35,2.00,12.00,4.11,24.95,0.45,7.37,0.48,175.73,2.33,60.06,36.00,155.63,,,
N,SH2,1.00,3.00,0.00,2.00,7.00,6.00,3.04,2.33,0.71,0.56,14.53,12.52,14.53,10.46,-0.07,1.20,1.55,1.40,5.00,8.00,2.00,1.00,6.50,2.68,0.64,13.53,12.50,0.56,1.48,6.50,0.71,5.37,0.15,1.27,0.15,2.95,2.02,27.05,1.27,1.13,3.00,13.00,4.07,24.99,0.32,7.20,0.40,182.96,2.18,42.25,42.25,156.13,,,
N,F,1.00,1.00,0.00,0.00,7.00,9.00,3.04,3.98,0.71,0.64,14.53,17.42,14.53,17.42,-0.07,3.40,1.55,1.47,5.00,7.00,1.00,0.00,8.00,3.51,0.68,15.98,15.98,1.67,1.51,6.00,0.94,7.02,0.07,1.35,0.08,3.02,2.89,31.96,3.47,3.33,2.00,12.00,2.89,31.95,2.77,12.32,0.46,255.30,2.28,64.00,36.00,255.20,,,
N,Cl,1.00,1.00,0.00,0.00,7.00,17.00,3.04,3.16,0.71,0.99,14.53,12.97,14.53,12.97,-0.07,3.61,1.55,1.75,5.00,7.00,1.00,0.00,12.00,3.10,0.85,13.75,13.75,1.77,1.65,6.00,0.12,6.20,0.28,1.70,0.20,3.30,1.57,27.50,3.68,3.54,2.00,12.00,1.56,27.50,3.14,9.61,0.72,189.08,2.72,144.00,36.00,189.06,,,
N,Br,1.00,1.00,0.00,0.00,7.00,35.00,3.04,2.96,0.71,1.14,14.53,11.81,14.53,11.81,-0.07,3.36,1.55,1.85,5.00,7.00,1.00,0.00,21.00,3.00,0.93,13.17,13.17,1.65,1.70,6.00,0.08,6.00,0.43,1.85,0.30,3.40,2.72,26.35,3.43,3.29,2.00,12.00,2.72,26.34,2.71,9.00,0.86,173.55,2.89,441.00,36.00,173.45,,,
N,I,1.00,1.00,0.00,0.00,7.00,53.00,3.04,2.66,0.71,1.33,14.53,10.45,14.53,10.45,-0.07,3.06,1.55,1.98,5.00,7.00,1.00,0.00,30.00,2.85,1.02,12.49,12.49,1.49,1.77,6.00,0.38,5.70,0.62,2.04,0.43,3.53,4.08,24.99,3.13,2.99,2.00,12.00,4.08,24.98,2.23,8.12,1.04,156.06,3.12,900.00,36.00,156.00,,,
NH,O,2.00,1.00,1.00,0.00,4.00,8.00,2.62,3.44,0.52,0.63,14.07,13.62,12.80,13.62,0.34,1.46,1.38,1.52,6.00,6.00,1.50,0.50,6.00,3.03,0.58,13.84,13.21,0.90,1.45,6.00,0.82,6.06,0.11,1.15,0.15,2.90,0.45,27.68,1.12,1.80,0.00,12.00,0.82,26.42,0.81,9.18,0.33,191.60,2.10,36.00,36.00,174.50,,,
NH,OH,2.00,2.00,1.00,1.00,4.00,4.50,2.62,2.82,0.52,0.48,14.07,13.61,12.80,13.02,0.34,1.11,1.38,1.36,6.00,7.00,2.00,1.00,4.25,2.72,0.50,13.84,12.91,0.72,1.37,6.50,0.20,5.44,0.04,1.00,0.02,2.74,0.46,27.67,0.77,1.45,1.00,13.00,0.22,25.82,0.53,7.40,0.25,191.46,1.87,18.06,42.25,166.67,,,
NH,N,2.00,1.00,1.00,0.00,4.00,7.00,2.62,3.04,0.52,0.71,14.07,14.53,12.80,14.53,0.34,-0.07,1.38,1.55,6.00,5.00,1.50,0.50,5.50,2.83,0.62,14.30,13.67,0.14,1.46,5.50,0.42,5.66,0.19,1.23,0.18,2.93,0.47,28.60,0.41,0.27,1.00,11.00,1.73,27.33,0.02,8.01,0.38,204.49,2.14,30.25,30.25,186.73,,,
NH,NH,2.00,2.00,1.00,1.00,4.00,4.00,2.62,2.62,0.52,0.52,14.07,14.07,12.80,12.80,0.34,0.34,1.38,1.38,6.00,6.00,2.00,1.00,4.00,2.62,0.52,14.07,12.80,0.34,1.38,6.00,0.00,5.24,0.00,1.04,0.00,2.75,0.00,28.13,0.00,0.68,0.00,12.00,0.00,25.60,0.12,6.86,0.27,197.85,1.89,16.00,36.00,163.84,,,
NH,NH2,2.00,3.00,1.00,2.00,4.00,3.00,2.62,2.48,0.52,0.45,14.07,13.91,12.80,10.78,0.34,0.48,1.38,1.32,6.00,7.00,2.50,1.50,3.50,2.55,0.49,13.99,11.79,0.41,1.35,6.50,0.14,5.10,0.07,0.97,0.06,2.69,0.16,27.98,0.14,0.82,1.00,13.00,2.02,23.58,0.17,6.50,0.24,195.66,1.81,12.25,42.25,139.00,0.08443 ,0.25745 ,-0.17302 
NH,NH3,2.00,4.00,1.00,3.00,4.00,2.50,2.62,2.41,0.52,0.42,14.07,13.83,12.80,10.07,0.34,0.55,1.38,1.29,6.00,8.00,3.00,2.00,3.25,2.52,0.47,13.95,11.44,0.45,1.33,7.00,0.21,5.03,0.10,0.94,0.09,2.66,0.23,27.90,0.21,0.89,2.00,14.00,2.73,22.87,0.20,6.33,0.22,194.57,1.77,10.56,49.00,130.76,,,
